"SETTING_ID"	"SETTING_KEY"	"SETTING_VALUE"	"CREATED_DATE"	"MODIFIED_DATE"
1	"ShopName"	"Online Pastry Shop"	04/03/2025	04/03/2025
2	"ShopDescription"	"Delicious pastries delivered to your door"	04/03/2025	04/03/2025
3	"ContactEmail"	"contact@pastryshop.com"	04/03/2025	04/03/2025
4	"Currency"	"USD"	04/03/2025	04/03/2025
5	"DefaultTaxRate"	"10"	04/03/2025	04/03/2025
6	"TaxDisplay"	"Inclusive"	04/03/2025	04/03/2025
7	"ShippingPolicyDays"	"3"	04/03/2025	04/03/2025
22	"BusinessHours"	"Mon-Fri: 9AM-6PM, Sat: 10AM-4PM, Sun: Closed"	04/03/2025	04/03/2025
23	"ContactPhone"	"+1 (555) 123-4567"	04/03/2025	04/03/2025
24	"EnableFlatRate"	"true"	04/03/2025	04/03/2025
25	"FlatRateAmount"	"5.99"	04/03/2025	04/03/2025
26	"EnableFreeShipping"	"true"	04/03/2025	04/03/2025
27	"FreeShippingThreshold"	"50"	04/03/2025	04/03/2025
28	"ShopEmail"	"contact@royalpastries.com"	04/05/2025	04/05/2025
29	"ShopPhone"	"123-456-7890"	04/05/2025	04/05/2025
30	"ShopAddress"	"100 Baker Street, Anytown, AN 12345"	04/05/2025	04/05/2025
31	"ShopLogo"	"logo.png"	04/05/2025	04/05/2025
